"direction","gene_symbol"
"immature_negative","HAL"
"immature_negative","HBB"
"immature_negative","HDDC2"
"immature_negative","HERC2"
"immature_negative","HERPUD1"
"immature_negative","HHEX"
"immature_negative","HIC2"
"immature_negative","HIPK2"
"immature_negative","HLX"
"immature_negative","HNRNPA1"
"immature_negative","HNRNPA3"
"immature_negative","HNRNPK"
"immature_negative","HNRNPM"
"immature_negative","HPRT1"
"immature_negative","HPSE"
"immature_negative","HSPA13"
"immature_negative","HSPA4L"
"immature_negative","HSPA6"
"immature_negative","ICAM3"
"immature_negative","IDS"
"immature_negative","IFI44L"
"immature_negative","IFITM1"
"immature_negative","IFITM2"
"immature_negative","IFT81"
"immature_negative","IFTAP"
"immature_negative","IL10RB"
"immature_negative","IL12A"
"immature_negative","INAVA"
"immature_negative","INPP4B"
"immature_negative","IRAG2"
"immature_negative","ITGA4"
"immature_negative","ITPK1-AS1"
"immature_negative","IZUMO1"
"immature_negative","JADE1"
"immature_negative","JAML"
"immature_negative","JUND"
"immature_negative","KATNBL1"
"immature_negative","KBTBD11"
"immature_negative","KCNMB1"
"immature_negative","KCTD12"
"immature_negative","KIAA0040"
"immature_negative","KLF13"
"immature_negative","KLF2"
"immature_negative","KLHDC4"
"immature_negative","KPNA3"
"immature_negative","LARGE1"
"immature_negative","LGALS2"
"immature_negative","LILRA1"
"immature_negative","LILRB2"
"immature_negative","LIN7A"
"immature_negative","LINC00877"
"immature_negative","LINC00936"
"immature_negative","LINC01127"
"immature_negative","LMNB1"
"immature_negative","LONRF3"
"immature_negative","LRCH4"
"immature_negative","LRIF1"
"immature_negative","LRRC25"
"immature_negative","LRRC40"
"immature_negative","LYZ"
"immature_negative","MALT1"
"immature_negative","MAN2C1"
"immature_negative","MAP3K1"
"immature_negative","MAP3K7CL"
"immature_negative","MAPK7"
"immature_negative","MAPK9"
"immature_negative","MED10"
"immature_negative","MEF2C"
"immature_negative","MEGF9"
"immature_negative","MEMO1"
"immature_negative","METAP2"
"immature_negative","METTL15"
"immature_negative","MFSD14A"
"immature_negative","MGA"
"immature_negative","MID1"
"immature_negative","MIR1-1HG"
"immature_negative","MMUT"
"immature_negative","MPEG1"
"immature_negative","MRPL39"
"immature_negative","MS4A6A"
"immature_negative","MTA1"
"immature_negative","MTHFD1"
"immature_negative","MTMR11"
"immature_negative","MZT2B"
"immature_negative","NAA10"
"immature_negative","NABP1"
"immature_negative","NASP"
"immature_negative","NBN"
"immature_negative","NCOA6"
"immature_negative","NDUFAF4"
"immature_negative","NDUFB9"
"immature_negative","NDUFS7"
"immature_negative","NEK7"
"immature_negative","NET1"
"immature_negative","NFE2"
"immature_negative","NFKBIZ"
"immature_negative","NFYC-AS1"
"immature_negative","NID1"
"immature_negative","NIFK"
"immature_negative","NLRC5"
"immature_negative","NLRP1"
"immature_negative","NLRP3"
"immature_negative","NME8"
"immature_negative","NOC3L"
"immature_negative","NOD2"
"immature_negative","NOL7"
"immature_negative","NOMO3"
"immature_negative","NOP2"
"immature_negative","NR4A2"
"immature_negative","NSA2"
"immature_negative","NSD3"
"immature_negative","NSFL1C"
"immature_negative","NSMCE4A"
"immature_negative","NTNG2"
"immature_negative","NUDT12"
"immature_negative","NUP37"
"immature_negative","OGFR"
"immature_negative","OLA1"
"immature_negative","OLFML1"
"immature_negative","OLIG1"
"immature_negative","OSBPL9"
"immature_negative","OSER1"
"immature_negative","P2RX1"
"immature_negative","P2RY13"
"immature_negative","P2RY8"
"immature_negative","P4HA1"
"immature_negative","PABIR3"
"immature_negative","PABPN1"
"immature_negative","PBK"
"immature_negative","PCLAF"
"immature_negative","PCMT1"
"immature_negative","PCMTD1"
"immature_negative","PELI2"
"immature_negative","PEX16"
"immature_negative","PF4"
"immature_negative","PGM1"
"immature_negative","PHB2"
"immature_negative","PHF10"
"immature_negative","PHOSPHO2"
"immature_negative","PID1"
"immature_negative","PIGF"
"immature_negative","PIGP"
"immature_negative","PIGX"
"immature_negative","PIWIL4"
"immature_negative","PLAAT4"
"immature_negative","PLAC8"
"immature_negative","PLCB1"
"immature_negative","PLN"
"immature_negative","PLPP5"
"immature_negative","PMPCB"
"immature_negative","PNN"
"immature_negative","PNP"
"immature_negative","POC1B"
"immature_negative","POGLUT3"
"immature_negative","POLR1F"
"immature_negative","POMP"
"immature_negative","PPBP"
"immature_negative","PPM1H"
"immature_negative","PPP1CC"
"immature_negative","PPP2R5C"
"immature_negative","PRKRA"
"immature_negative","PROK2"
"immature_negative","PSMA1"
"immature_negative","PSMB8-AS1"
"immature_negative","PSMC2"
"immature_negative","PSMD10"
"immature_negative","PSMD13"
"immature_negative","PTBP2"
"immature_negative","PTK2"
"immature_negative","PTPN18"
"immature_negative","PXYLP1"
"immature_negative","PYM1"
"immature_negative","RAB1B"
"immature_negative","RAB9A"
"immature_negative","RARRES3"
"immature_negative","RASGEF1A"
"immature_negative","RASGRP4"
"immature_negative","RBM34"
"immature_negative","RBM6"
"immature_negative","RBP7"
"immature_negative","RELA"
"immature_negative","RELCH"
"immature_negative","RGS18"
"immature_negative","RGS2"
"immature_negative","RHD"
"immature_negative","RLF"
"immature_negative","RMDN3"
"immature_negative","RNASE2"
"immature_negative","RNASE6"
"immature_negative","RNF139"
"immature_negative","RNLS"
"immature_negative","RNMT"
"immature_negative","RPIA"
"immature_negative","RPL12"
"immature_negative","RPL17"
"immature_negative","RPL19"
"immature_negative","RPL22"
"immature_negative","RPL23A"
"immature_negative","RPL24"
"immature_negative","RPL26"
"immature_negative","RPL35"
"immature_negative","RPL36A"
"immature_negative","RPL37A"
"immature_negative","RPL39L"
"immature_negative","RPS28"
"immature_negative","RPS3"
"immature_negative","RPS6"
"immature_negative","RPS9"
"immature_negative","RRM2B"
"immature_negative","RSL24D1"
"immature_negative","RSRC1"
"immature_negative","RWDD1"
"immature_negative","RYK"
"immature_negative","S100A12"
"immature_negative","S100A8"
"immature_negative","SACM1L"
"immature_negative","SAMD4B"
"immature_negative","SEC63"
"immature_negative","SELL"
"immature_negative","SENP7"
"immature_negative","SERPINB2"
"immature_negative","SERTAD2"
"immature_negative","SESN2"
"immature_negative","SESN3"
"immature_negative","SF3B5"
"immature_negative","SFXN4"
"immature_negative","SH3GLB1"
"immature_negative","SHMT1"
"immature_negative","SLAIN2"
"immature_negative","SLC24A4"
"immature_negative","SLC2A3"
"immature_negative","SLC40A1"
"immature_negative","SLC41A3"
"immature_negative","SLC46A2"
"immature_negative","SLC7A9"
"immature_negative","SLITRK2"
"immature_negative","SMAD2"
"immature_negative","SMAD3"
"immature_negative","SMYD3"
"immature_negative","SNHG32"
"immature_negative","SNX2"
"immature_negative","SNX5"
"immature_negative","SORL1"
"immature_negative","SPI1"
"immature_negative","SQLE"
"immature_negative","SRSF10"
"immature_negative","SRSF5"
"immature_negative","SS18L2"
"immature_negative","SSH2"
"immature_negative","SSX2IP"
"immature_negative","STEAP4"
"immature_negative","STK17B"
"immature_negative","STRADB"
"immature_negative","STRBP"
"immature_negative","STYXL2"
"immature_negative","SUCO"
"immature_negative","SURF1"
"immature_negative","SVIL"
"immature_negative","SYNE3"
"immature_negative","TAF9B"
"immature_negative","TAFAZZIN"
"immature_negative","TAGAP"
"immature_negative","TAP2"
"immature_negative","TBC1D1"
"immature_negative","TBRG1"
"immature_negative","TESC"
"immature_negative","TEX30"
"immature_negative","TGFB1"
"immature_negative","TGM4"
"immature_negative","THBS1"
"immature_negative","THOC5"
"immature_negative","TLR5"
"immature_negative","TLR7"
"immature_negative","TMC6"
"immature_negative","TMEM107"
"immature_negative","TMEM154"
"immature_negative","TMEM167A"
"immature_negative","TMEM168"
"immature_negative","TMEM170B"
"immature_negative","TMEM64"
"immature_negative","TMEM71"
"immature_negative","TMEM87B"
"immature_negative","TNFSF10"
"immature_negative","TP53INP1"
"immature_negative","TPP2"
"immature_negative","TPT1"
"immature_negative","TRAF3IP3"
"immature_negative","TREM1"
"immature_negative","TRMT2B"
"immature_negative","TSC22D2"
"immature_negative","TSC22D3"
"immature_negative","TSN"
"immature_negative","TSTD2"
"immature_negative","TXLNGY"
"immature_negative","UBA7"
"immature_negative","UBE2D3"
"immature_negative","UBE2L3"
"immature_negative","UBR3"
"immature_negative","UBXN11"
"immature_negative","USP34"
"immature_negative","USP39"
"immature_negative","UTRN"
"immature_negative","VAMP7"
"immature_negative","VCAN"
"immature_negative","VCPKMT"
"immature_negative","VNN2"
"immature_negative","VPS35"
"immature_negative","VPS41"
"immature_negative","VPS53"
"immature_negative","VPS54"
"immature_negative","WAC"
"immature_negative","WASHC4"
"immature_negative","YIPF5"
"immature_negative","ZBTB1"
"immature_negative","ZC3H15"
"immature_negative","ZDHHC3"
"immature_negative","ZHX1"
"immature_negative","ZNF157"
"immature_negative","ZNF281"
"immature_negative","ZNF296"
"immature_negative","ZNF318"
"immature_negative","ZNF445"
"immature_negative","ZNF467"
"immature_negative","ZNF598"
