"gene_symbol","GSE5099_logFC","GSE5099_moderated_t","GSE11864_logFC","GSE11864_moderated_t","action","reason"
"LHX1",0.0512958666666677,0.520216849336925,-0.899847127254418,-1.145256419671,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LHX2",-0.180602313999999,-2.11708383961954,2.27033032294485,2.44135543588577,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LHX4",-0.128576373999999,-1.33852549342951,0.223485907565476,0.303471525057435,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LHX5",0.163610536666666,1.47262851274724,-0.0703057077196666,-0.0825222338354188,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LIAS",0.915839481333334,7.72978797985136,-0.162827204935918,-0.877546006388345,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LIFR",0.0454939992500002,0.70913761669877,-0.911461358088308,-1.06201611326664,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LIG4",-0.768605494499998,-5.18410705559405,0.621886838240977,3.06240483222206,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LILRA4",-0.0697823473333321,-0.52566011475383,0.117382425934682,0.217141604173828,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LILRA5",0.0419641445000011,0.294848809544161,-3.17730006027904,-11.5163328888209,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LILRP2",0.0730559819999994,0.945619384508936,-1.63542892482704,-2.20773007350013,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LIM2",0.120530264333334,0.957477212858001,-0.936532159084725,-1.2542738740877,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LIMCH1",-0.297334014944444,-3.8169944746685,0.904740920464353,1.23661112478167,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LIMD1-AS1",-0.0209141249999979,-0.178782718562855,0.380355085918496,1.08440040941757,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LIME1",-0.0450374203333327,-0.36947967920139,0.21506388979568,0.360103708740356,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LIN37",-0.618080559166666,-5.10299381791885,0.55910378148729,1.14495535016922,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LIN54",-0.224743874333333,-2.78455997140138,0.291262025995883,0.592058675573096,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LIN7B",0.128868007333334,0.998025636400822,-0.521040983162176,-1.49775960822008,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LIN7C",-0.167246050333331,-1.4848957165549,0.517211427383792,4.42521633765374,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00158",-0.158829862,-1.90709451887244,0.565968648625859,0.840889525470572,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00173",0.232877159,1.50709043361228,-1.88586694252741,-3.5470621920191,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00174",0.141416304000002,1.43792022949273,-1.72334518171529,-1.97609589495398,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00261",-0.0193413229999997,-0.233625558626012,0.436689603742072,0.502364821591916,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00310",-0.155262760666667,-1.52664529010762,1.27794998325723,1.37544964658564,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LINC00313",-0.0838541043333325,-0.980819661971661,0.874397794032276,0.99329300202172,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
