gene_set,source,gene
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,IGF2R
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ADAMDEC1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CREG1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CD163
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,GM2A
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,HGF
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,TDP2
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,EPHX1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,PEBP1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ADORA3
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,GON7
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,FUNDC1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,NPC2
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ZNF112
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,C1QB
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,LINC00865
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SGMS1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ACSL3
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,GAS6
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CYFIP1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SEPHS2
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,PRKACB
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,MANEA
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,A2M
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,FCGR2B
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,PIR
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,OSBPL1A
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,HSPB1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,IGSF6
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,KIFAP3
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,HSD17B14
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CTSV
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ABHD3
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,IFIT1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SLC27A1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,NCEH1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,MGME1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,GALM
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CD14
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ZSCAN26
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,LILRB5
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,KIAA0930
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ABCG1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CD63
